[AD Agent init] 06 Nov 2020 09:54:59,497  INFO JavaAgent - Logging set up for log4j2
[AD Agent init] 06 Nov 2020 09:54:59,498  INFO JavaAgent - ####################################################################################
[AD Agent init] 06 Nov 2020 09:54:59,498  INFO JavaAgent - Java Agent Directory [/opt/appdynamics/appdynamics_new/ver20.10.0.31173]
[AD Agent init] 06 Nov 2020 09:54:59,498  INFO JavaAgent - Java Agent AppAgent directory [/opt/appdynamics/appdynamics_new/ver20.10.0.31173]

[AD Agent init] 06 Nov 2020 09:55:05,181  INFO ConfigurationChannel - Auto agent registration attempted: Application Name [DCTUAT] Component Name [DCTApp] Node Name [DCTuat1.client.in]
[AD Agent init] 06 Nov 2020 09:55:05,348  INFO ErrorMonitor - Setting ignore exceptions to :
[AD Agent init] 06 Nov 2020 09:55:05,348  INFO ErrorMonitor - Setting ignore message patterns to :
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Setting max frames in root cause to :5
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO StackErrorGenerator - Stack trace line limit set to: 200 (stack-trace-line-limit property is set to 0, but minimum value is 200.)
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Setting stack trace line limit to :0
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO LoggerWarningRuleApplier - Applying Custom Logger Rules ::
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Setting excluded logger names to :
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - JDK Exception Logger disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - JDK Message Logger disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - SLF4J Exception Logger disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - SLF4J Message Logger disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Logback Formatted Message Logger disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Logback Formatted Message Marker disabled set to false
[AD Agent init] 06 Nov 2020 09:55:05,349  INFO ErrorMonitor - Log4j Exception Logger disabled set to false



[AD Thread Pool-Global0] 06 Nov 2020 12:02:24,527  INFO BusinessTransactionRegistry - Registered BT Name[Download Doc], Id[450]
[default task-537] 06 Nov 2020 12:03:57,517  WARN BoundsEnforcer - BoundsEnforcer for collection com.singularity.ee.agent.util.bounded.collections.BoundedConcurrentReferenceHashMap with service name TransactionMonitoringService and property name SqlCacheHolder-connectionVsURL-limit has exceeded maximum size of 550 entries.
